id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,weekly_price,monthly_price,cleaning_fee,guests_included,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
10310373,f,98119,Apartment,Private room,3,1,1,1,,,,1,,,,,,,
9368342,f,98119,Townhouse,Entire home/apt,2,1.5,1,1,,,$50.00 ,2,,,,,,,
6361863,f,98119,Apartment,Entire home/apt,2,1,1,1,,,$30.00 ,2,94,10,10,10,10,10,9
8105221,f,98119,Townhouse,Private room,2,1,1,1,,,,1,100,10,10,10,10,10,10
3269390,t,98119,House,Entire home/apt,2,1,0,1,,,$60.00 ,1,98,10,10,10,10,10,10
4566393,f,98119,House,Entire home/apt,4,2.5,3,3,"$2,100.00 ","$7,500.00 ",$120.00 ,4,,,,,,,
9282409,f,98119,House,Private room,2,2,1,1,$450.00 ,,,1,100,10,10,10,10,10,10
8095168,f,98119,Apartment,Private room,2,1,1,1,,,$20.00 ,1,100,10,10,10,10,10,10
2746782,t,98119,Apartment,Entire home/apt,2,1,0,1,$540.00 ,,$25.00 ,1,97,10,10,10,10,9,10
6424982,f,98119,House,Private room,2,1,1,1,,,,2,92,9,9,10,10,10,9
762029,t,98119,Camper/RV,Private room,2,1,1,2,$360.00 ,,$25.00 ,2,97,10,10,10,10,9,10
8988281,f,98119,House,Entire home/apt,4,1,2,2,,,$78.00 ,4,,,,,,,
7077910,f,98107,House,Entire home/apt,6,2.5,3,4,"$1,195.00 ","$3,195.00 ",$100.00 ,6,91,9,9,10,10,10,9
3772674,f,98107,Apartment,Entire home/apt,2,1,1,1,$650.00 ,,$50.00 ,2,98,10,10,10,10,10,10
7021906,t,98107,House,Entire home/apt,12,3.5,5,7,"$3,035.00 ","$12,140.00 ",$250.00 ,1,96,10,10,10,10,10,9
7618605,f,98107,Apartment,Entire home/apt,2,1,1,1,,,$50.00 ,1,96,10,10,10,10,10,9
10234558,f,98107,Condominium,Private room,2,1,1,1,,,,0,,,,,,,
7021702,f,98107,Apartment,Private room,2,1,1,1,,,,1,,,,,,,
7680439,f,98107,House,Private room,2,1,1,1,$351.00 ,,$12.00 ,1,93,9,10,10,10,10,10
